page	chars	images	suggestion
----	-----	-------	----------
1	162	1	text_ok
2	112	15	ocr_or_raster
3	236	0	text_ok
4	20	0	ocr_or_raster
5	25	0	ocr_or_raster
6	666	3	text_ok
7	225	0	text_ok
8	390	0	text_ok
9	343	0	text_ok
10	314	0	text_ok
11	1248	0	text_ok
12	541	1	text_ok
13	30	0	ocr_or_raster
14	90	0	ocr_or_raster
15	1	2	ocr_or_raster
16	66	0	ocr_or_raster
17	123	5	ocr_or_raster
18	95	3	ocr_or_raster
19	91	0	ocr_or_raster
20	79	5	ocr_or_raster
21	25	0	ocr_or_raster
22	121	0	ocr_or_raster
23	241	0	text_ok
24	360	2	text_ok
25	662	2	text_ok
26	102	1	ocr_or_raster
27	101	1	ocr_or_raster
28	519	2	text_ok
29	1538	1	text_ok
30	82	2	ocr_or_raster
31	69	3	ocr_or_raster
32	650	1	text_ok
33	77	0	ocr_or_raster
34	4506	0	text_ok
35	4506	0	text_ok
36	1	2	ocr_or_raster
37	1	2	ocr_or_raster
38	28	2	ocr_or_raster
39	1	3	ocr_or_raster
40	1	2	ocr_or_raster
41	1	3	ocr_or_raster
42	1	1	ocr_or_raster
43	22	1	ocr_or_raster
44	109	1	ocr_or_raster
45	111	0	ocr_or_raster
46	541	1	text_ok
47	1	1	ocr_or_raster
48	59	19	ocr_or_raster
49	1235	58	text_ok
50	559	73	text_ok
51	1489	73	text_ok
52	10	3	ocr_or_raster
53	17	2	ocr_or_raster
54	343	0	text_ok
55	79	5	ocr_or_raster
56	1538	1	text_ok
57	647	0	text_ok
58	125	0	ocr_or_raster
59	36	0	ocr_or_raster
60	47	0	ocr_or_raster
61	51	0	ocr_or_raster
62	96	0	ocr_or_raster
63	168	0	text_ok
64	16	3	ocr_or_raster
65	61	0	ocr_or_raster
66	244	0	text_ok
67	259	3	text_ok
68	389	0	text_ok
69	82	0	ocr_or_raster
70	69	0	ocr_or_raster
71	218	0	text_ok
72	717	0	text_ok
73	781	0	text_ok
